nces_district_id,district_name
2911910,Farmington R-VII
2916350,Joplin R-VIII
2916400,Kansas City 33
2929280,St. Louis City
3018540,Missoula H S
3173740,Millard Public Schools
3200060,Clark County School District
3200480,Washoe County School District
3302990,Fall Mountain Regional School District
3407830,Jersey City
3500010,Rio Rancho Public Schools
3500060,Albuquerque Public Schools
3500117,Cesar Chavez Community School
3500150,Aztec Municipal Schools
3500690,Deming Public Schools
3502250,Roswell Independent Schools
3600021,Mattituck-Cutchogue Union Free School District
3600090,New York City Geographic District #12
3600103,New York City Geographic District #31
3601065,Urban Dove Team Charter School
3601085,Great Oaks Charter School
3609630,East Greenbush Central School District
3620100,Mount Vernon City School District
3620580,New York City Public Schools
3623760,Poughkeepsie City School District
3624750,Rochester City School District
3630330,Wayne Central School District
3700011,Cumberland County Schools
3700012,Pitt County Schools
3700122,Crossroads Charter High
3700420,Brunswick County Schools
3700720,Chapel Hill-Carrboro Schools
3700900,Cleveland County Schools
3701500,Winston Salem/Forsyth County Schools
3701920,Guilford County Schools
3702100,Henderson County Schools
3702970,Charlotte-Mecklenburg Schools
3703330,New Hanover County Schools
3703480,Orange County Schools
3704050,Rowan-Salisbury Schools
3704320,Stanly County Schools
3704720,Wake County Schools
3800046,Mott-regent 1
3904375,Cincinnati City
3904378,Cleveland Municipal City
3904380,Columbus City School District
3904441,Mount Healthy City SD
3904612,Madison Local
3904621,West Liberty-Salem Local
3904718,Chardon Local
3904833,Lowellville Local
4011970,Fort Gibson
4012570,Geary
4015210,Hugo
4029610,Tecumseh
4101980,Bend-Lapine Administrative SD 1
4102040,Bethel Sd 52
4106000,Gresham-Barlow Sd 10J
4110040,Portland County Schools
4110520,Reynolds SD 7
4110710,Douglas County SD 4
4200078,Delaware Valley CHS
4209300,Erie City Shool District
4213140,Lancaster SD
4218990,Philadelphia City SD
4219170,Pittsburgh SD
4220100,Red Lion Area SD
4225830,West Shore SD
4400900,Providence School District
4500720,Aiken 01
4500870,Anderson 04
4501560,Chesterfield 01
4502310,Greenville County School District
4502370,Greenwood 51
4502490,Horry 01
4503360,Richland 01
4503910,Orangeburg
4631350,Harrisburg School District 41-2
4700148,Shelby County
4700420,Campbell County School Distrct
4702100,Jefferson County School District
4702220,Knox County School District
4702580,Madison County
4702940,Memphis City School District
4703180,Nashville-Davidson County SD
4703690,Rutherford County
4703990,Sullivan County
4800209,Yes Prep Public Schools Inc
4807950,Alpine ISD
4808130,Amarillo Isd
4808700,Arlington Isd
4808940,Austin ISD
4811680,Brownsville ISD
4812750,Canton ISD
4816200,Dalhart ISD
4816230,Dallas ISD
4818540,Ennis ISD
4819700,Fort Worth ISD
4820340,Garland ISD
4823640,The Houston Independent School District
4824450,Italy ISD
4824990,Judson ISD
4828290,Los Fresnos CISD
4828920,Mansfield Isd
4830420,Mexia Independent School District
4833060,North Forest ISD
4834320,Pasadena Isd
4839270,Santa Fe ISD
4843720,Uvalde CISD
4900142,Canyons District
4900210,Davis District
4900360,Granite District
4900870,Salt Lake District
5100810,Chesapeake City Public Schools
5101890,Henrico Co Pblc Schs
5102640,Newport News City of Public Schools
5103000,Portsmouth City Pblc Schs
5103130,Prince William Co Pblc Schs
5103240,Richmond City Pblc Schs
5300660,Bremerton School District
5302970,Freeman School District
5304860,Marysville School District
5305850,North Thurston Public Schools
5307230,Renton
5307710,Seattle School District No. 1
5308250,Spokane School District
5308700,Tacoma School District
5310110,Yakima School District
5508700,Marinette School District
5509600,Milwaukee Sch Dist
5511190,Oshkosh Area School District
5515780,Waukesha School District
5516470,Weston
